"results_id";"start";"duration";"class";"steps";"mi";"aee";"tee";"met";"vmu"
529;"2015-06-27 03:33:00.00";60;"lying";0;0.00431;6.84;98.298;1.05;0
529;"2015-06-27 03:34:00.00";60;"lying";0;0.00455;7.248;98.751;1.06;0
529;"2015-06-27 03:35:00.00";60;"lying";0;0.00433;6.874;98.335;1.05;0
529;"2015-06-27 03:36:00.00";60;"lying";0;0.00421;6.67;98.109;1.05;0
529;"2015-06-27 03:37:00.00";60;"lying";0;0.0043;6.823;98.279;1.05;0
529;"2015-06-27 03:38:00.00";60;"lying";0;0.0042;6.653;98.09;1.05;0
529;"2015-06-27 03:39:00.00";60;"lying";0;0.00428;6.789;98.241;1.05;0
529;"2015-06-27 03:40:00.00";60;"lying";0;0.00425;6.738;98.184;1.05;0
529;"2015-06-27 03:41:00.00";60;"lying";0;0.00394;6.211;97.599;1.05;0
529;"2015-06-27 03:42:00.00";60;"lying";0;0.00409;6.466;97.882;1.05;0
529;"2015-06-27 03:43:00.00";60;"lying";0;0.00394;6.211;97.599;1.05;0
529;"2015-06-27 03:44:00.00";60;"lying";0;0.00443;7.044;98.524;1.05;0
529;"2015-06-27 03:45:00.00";60;"lying";0;0.00446;7.095;98.581;1.06;0
529;"2015-06-27 03:46:00.00";60;"lying";0;0.0041;6.483;97.901;1.05;0
529;"2015-06-27 03:47:00.00";60;"lying";0;0.00422;6.687;98.128;1.05;0
529;"2015-06-27 03:48:00.00";60;"lying";0;0.00451;7.18;98.676;1.06;0
529;"2015-06-27 03:49:00.00";60;"lying";0;0.00398;6.279;97.674;1.05;0
529;"2015-06-27 03:50:00.00";60;"lying";0;0.00408;6.449;97.863;1.05;0
529;"2015-06-27 03:51:00.00";60;"lying";0;0.00395;6.228;97.618;1.05;0
529;"2015-06-27 03:52:00.00";60;"lying";0;0.00637;10.343;102.19;1.09;0
529;"2015-06-27 03:53:00.00";60;"lying";0;0.00562;9.067;100.773;1.08;0
529;"2015-06-27 03:54:00.00";60;"lying";0;0.00562;9.067;100.773;1.08;0
529;"2015-06-27 03:55:00.00";60;"lying";0;0.00502;8.047;99.639;1.07;0
529;"2015-06-27 03:56:00.00";60;"lying";0;0.00446;7.095;98.581;1.06;0
529;"2015-06-27 03:57:00.00";60;"lying";0;0.00414;6.551;97.977;1.05;0
529;"2015-06-27 03:58:00.00";60;"lying";0;0.00407;6.432;97.844;1.05;0
529;"2015-06-27 03:59:00.00";60;"lying";0;0.00502;8.047;99.639;1.07;0
529;"2015-06-27 04:00:00.00";60;"lying";0;0.00479;7.656;99.205;1.06;0
529;"2015-06-27 04:01:00.00";60;"lying";0;0.00418;6.619;98.052;1.05;0
529;"2015-06-27 04:02:00.00";60;"lying";0;0.00474;7.571;99.11;1.06;0
529;"2015-06-27 04:03:00.00";60;"lying";0;0.00465;7.418;98.94;1.06;0
529;"2015-06-27 04:04:00.00";60;"lying";0;0.0046;7.333;98.846;1.06;0
529;"2015-06-27 04:05:00.00";60;"lying";0;0.00757;12.383;104.457;1.11;0
529;"2015-06-27 04:06:00.00";60;"lying";0;0.00433;6.874;98.335;1.05;0
529;"2015-06-27 04:07:00.00";60;"lying";0;0.01827;30.577;124.673;1.3;105.603
529;"2015-06-27 04:08:00.00";60;"lying";0;0.00587;9.492;101.245;1.08;0
529;"2015-06-27 04:09:00.00";60;"lying";0;0.00341;5.31;96.597;1.04;0
529;"2015-06-27 04:10:00.00";60;"lying";0;0.00509;8.166;99.771;1.07;0
529;"2015-06-27 04:11:00.00";60;"lying";0;0.00472;7.537;99.072;1.06;0
529;"2015-06-27 04:12:00.00";60;"lying";0;0.00354;5.531;96.843;1.04;0
529;"2015-06-27 04:13:00.00";60;"lying";0;0.00344;5.361;96.654;1.04;0
529;"2015-06-27 04:14:00.00";60;"lying";0;0.00831;13.641;105.855;1.12;5.991
529;"2015-06-27 04:15:00.00";60;"lying";0;0.01365;22.721;115.944;1.22;68.478
529;"2015-06-27 04:16:00.00";60;"lying";0;0.0044;6.993;98.468;1.05;0
529;"2015-06-27 04:17:00.00";60;"lying";0;0.00252;3.796;94.916;1.02;0
529;"2015-06-27 04:18:00.00";60;"lying";0;0.0021;3.082;94.122;1.01;0
529;"2015-06-27 04:19:00.00";60;"lying";0;0.00168;2.368;93.329;1;0
529;"2015-06-27 04:20:00.00";60;"lying";0;0.00163;2.283;93.234;1;0
529;"2015-06-27 04:21:00.00";60;"lying";0;0.00686;11.176;103.115;1.1;0
529;"2015-06-27 04:22:00.00";60;"lying";0;0.00162;2.266;93.215;1;0
529;"2015-06-27 04:23:00.00";60;"lying";0;0.00171;2.419;93.385;1.01;0
529;"2015-06-27 04:24:00.00";60;"lying";0;0.00174;2.47;93.442;1.01;0
529;"2015-06-27 04:25:00.00";60;"lying";0;0.00182;2.606;93.593;1.01;0
529;"2015-06-27 04:26:00.00";60;"lying";0;0.00176;2.504;93.48;1.01;0
529;"2015-06-27 04:27:00.00";60;"lying";0;0.0018;2.572;93.556;1.01;0
529;"2015-06-27 04:28:00.00";60;"lying";0;0.00181;2.589;93.574;1.01;0
529;"2015-06-27 04:29:00.00";60;"lying";0;0.00175;2.487;93.461;1.01;0
529;"2015-06-27 04:30:00.00";60;"lying";0;0.00195;2.827;93.839;1.01;0
529;"2015-06-27 04:31:00.00";60;"lying";0;0.00181;2.589;93.574;1.01;0
